"Temperature","Pressure","Humidity","Speed","Radiation"
"48","30.46","59","5.62","1.21"
"48","30.46","58","3.37","1.21"
"48","30.46","57","3.37","1.23"
"48","30.46","60","3.37","1.21"
"48","30.46","62","5.62","1.17"
"48","30.46","64","5.62","1.21"
"49","30.46","72","6.75","1.2"
"49","30.46","71","5.62","1.24"
"49","30.46","80","4.5","1.23"
"49","30.46","85","4.5","1.21"
"49","30.47","93","2.25","1.23"
"49","30.47","98","3.37","1.21"
"49","30.47","99","6.75","1.22"
"50","30.47","99","2.25","1.21"
"50","30.47","99","5.62","1.23"
"50","30.47","99","4.5","1.22"
"50","30.47","99","10.12","1.21"
"50","30.47","99","6.75","1.22"
"50","30.47","98","6.75","1.22"
"50","30.47","98","6.75","1.2"
"50","30.47","98","2.25","1.2"
"50","30.47","97","5.62","1.2"
"50","30.47","97","4.5","1.21"
"50","30.47","97","5.62","1.22"
"50","30.47","96","5.62","1.22"
"50","30.47","96","6.75","1.22"
"50","30.47","95","7.87","1.24"
"50","30.47","95","6.75","1.23"
"50","30.47","95","7.87","1.23"
"50","30.47","95","6.75","1.23"
"50","30.47","94","5.62","1.24"
"50","30.47","93","4.5","1.2"
"50","30.47","93","7.87","1.24"
"49","30.47","93","9","1.21"
"50","30.47","93","5.62","1.24"
"50","30.47","92","4.5","1.2"
"50","30.47","91","7.87","1.19"
"50","30.47","90","6.75","1.25"
"50","30.47","88","6.75","1.25"
"50","30.47","87","1.12","1.23"
"50","30.47","86","4.5","1.21"
"50","30.46","85","5.62","1.25"
"50","30.46","84","3.37","1.23"
"50","30.47","81","3.37","1.23"
"50","30.46","75","4.5","1.26"
"50","30.46","70","5.62","1.17"
"50","30.46","63","3.37","1.22"
"50","30.46","51","4.5","1.22"
"50","30.46","47","6.75","1.22"
"50","30.46","46","3.37","1.24"
"50","30.46","47","4.5","1.25"
"50","30.46","48","4.5","1.19"
"50","30.46","56","4.5","1.19"
"50","30.46","57","4.5","1.23"
"51","30.46","55","3.37","1.19"
"51","30.46","54","4.5","1.23"
"51","30.45","53","2.25","1.22"
"51","30.45","51","4.5","1.24"
"51","30.45","51","2.25","1.24"
"51","30.45","52","5.62","1.23"
"51","30.45","51","6.75","1.23"
"51","30.45","52","5.62","1.24"
"51","30.44","55","5.62","1.23"
"52","30.44","55","5.62","1.21"
"52","30.44","55","6.75","1.24"
"52","30.45","59","3.37","1.18"
"52","30.44","59","2.25","1.52"
"53","30.44","61","4.5","5.07"
"53","30.44","62","7.87","6.16"
"53","30.44","59","5.62","6.63"
"54","30.44","59","4.5","10.96"
"55","30.44","57","6.75","19.42"
"55","30.44","53","4.5","27.14"
"56","30.44","52","2.25","33.75"
"56","30.44","49","6.75","49.57"
"56","30.44","50","2.25","59.62"
"56","30.44","48","3.37","87.23"
"56","30.43","49","2.25","109.93"
"57","30.43","57","2.25","130.82"
"57","30.43","55","5.62","160.52"
"58","30.43","52","1.12","191.37"
"58","30.43","49","4.5","207.05"
"58","30.43","45","5.62","240.99"
"58","30.43","41","4.5","274.83"
"58","30.43","55","3.37","300.94"
"58","30.43","56","7.87","322.71"
"58","30.43","50","6.75","346.59"
"58","30.43","49","7.87","364.18"
"58","30.43","51","5.62","368.35"
"58","30.43","46","5.62","362.84"
"59","30.43","48","4.5","423.9"
"58","30.43","59","4.5","457.69"
"58","30.43","52","3.37","511.38"
"58","30.43","52","4.5","566.83"
"58","30.43","49","4.5","187.96"
"59","30.43","58","9","310.59"
"59","30.43","46","3.37","230.26"
"60","30.43","46","7.87","623.31"
"60","30.43","48","10.12","312.1"
"60","30.43","44","7.87","803.72"
"60","30.42","47","7.87","671.97"
"60","30.42","51","4.5","670.32"
"60","30.42","48","9","679.73"
"60","30.43","54","4.5","687.62"
"61","30.42","53","11.25","697.66"
"61","30.42","44","7.87","716.27"
"61","30.43","50","5.62","744.43"
"61","30.42","53","7.87","612.34"
"61","30.42","50","4.5","760.9"
"61","30.42","57","6.75","773.71"
"61","30.42","59","3.37","790.08"
"61","30.42","59","7.87","804.28"
"61","30.42","53","6.75","818.82"
"62","30.42","51","5.62","855.63"
"62","30.42","58","3.37","875.16"
"62","30.42","54","3.37","867.9"
"62","30.43","58","5.62","872.67"
"62","30.43","50","4.5","890.52"
"62","30.43","53","7.87","911.06"
"62","30.43","49","7.87","925.16"
"62","30.43","47","5.62","933.15"
"62","30.43","53","5.62","942.73"
"62","30.43","50","4.5","955.74"
"62","30.43","54","9","959.47"
"62","30.43","57","6.75","970.22"
"62","30.43","54","11.25","974.87"
"62","30.44","53","7.87","985.22"
"62","30.43","50","10.12","992.19"
"62","30.44","56","7.87","997.26"
"62","30.44","54","7.87","1004.6"
"63","30.44","54","11.25","1007.96"
"63","30.44","54","9","1013.59"
"62","30.44","51","10.12","1020.55"
"62","30.44","45","15.75","1025.63"
"63","30.45","46","12.37","1029.41"
"63","30.45","43","7.87","1034.46"
"63","30.45","43","5.62","1033.54"
"63","30.45","40","4.5","1039.06"
"63","30.45","39","6.75","1039.67"
"64","30.46","41","14.62","1037.76"
"64","30.45","41","13.5","1039.52"
"63","30.45","41","4.5","1040.14"
"63","30.46","42","1.12","1039.22"
"63","30.46","41","4.5","1035.99"
"63","30.46","39","5.62","1033.49"
"63","30.46","41","9","1029.15"
"63","30.46","41","2.25","1025.51"
"63","30.46","41","9","1023.78"
"63","30.47","37","3.37","1017.57"
"63","30.47","34","11.25","1013.93"
"63","30.47","34","9","1009.36"
"63","30.47","33","6.75","1002.89"
"63","30.47","31","6.75","999.19"
"62","30.47","36","10.12","987.02"
"63","30.47","40","7.87","981.66"
"63","30.47","35","5.62","973.79"
"63","30.47","37","6.75","964.46"
"62","30.47","40","7.87","957.02"
"62","30.47","44","11.25","946.32"
"62","30.47","45","11.25","933.08"
"62","30.47","43","5.62","926.79"
"62","30.47","42","11.25","915.84"
"62","30.47","42","9","901.65"
"61","30.47","46","7.87","899.53"
"62","30.47","49","7.87","878.76"
"61","30.47","44","6.75","867.98"
"62","30.47","41","7.87","855.89"
"61","30.47","42","9","841.52"
"62","30.47","38","10.12","830.19"
"62","30.47","39","6.75","815.1"
"62","30.47","41","5.62","799.29"
"61","30.47","41","7.87","785.6"
"61","30.47","45","7.87","768.39"
"61","30.47","44","4.5","754.06"
"61","30.47","43","7.87","738.75"
"61","30.46","44","11.25","722.23"
"61","30.46","44","6.75","706.41"
"61","30.46","45","3.37","686.3"
"60","30.46","49","9","669.11"
"61","30.46","47","2.25","652.51"
"61","30.46","41","6.75","634.99"
"61","30.46","31","7.87","617.87"
"61","30.46","34","2.25","597.41"
"61","30.46","31","4.5","578.24"
"60","30.46","35","1.12","559.23"
"60","30.46","37","3.37","538.41"
"60","30.46","41","4.5","519.16"
"60","30.45","40","3.37","499.21"
"60","30.45","40","3.37","478.48"
"59","30.45","40","1.12","458.27"
"59","30.45","45","2.25","438.05"
"60","30.44","30","5.62","416.28"
"59","30.44","31","3.37","395.14"
"58","30.44","34","2.25","373.7"
"57","30.43","34","1.12","352.56"
"54","30.43","38","1.12","305.78"
"52","30.43","42","2.25","278.29"
"51","30.43","44","2.25","251.51"
"50","30.43","46","4.5","222.48"
"49","30.43","47","3.37","164.44"
"48","30.43","48","4.5","21.36"
